"Time","Angle","Angular Rate","Left Encoder Distance","Left Encoder Rate","Left motor signal (pow or vel)","Right motor signal (pow or vel)","Left motor voltage","Right motor voltage","Drive current","Battery voltage","Game State","Robot messages","Button Presses","X acceleration","Y acceleration","Z acceleration","FlywheelRate","Flywheel voltage","SpeedSetpoint","Flywheel current",
"0.727774","2405.214844","1.158537","8170.651067","-0.049854","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.011719","0.023438","1.000000","0.000000","0.000000","0.000000","0.125000",
"0.753621","2405.258789","1.158537","8170.698429","0.423762","0.000000","0.000000","0.000000","0.000000","0.000000","12.058474","Disabled","","","0.054688","0.015625","0.968750","0.000000","0.000000","0.000000","0.125000",
"0.783760","2405.302734","1.158537","8170.718371","0.673034","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.039062","-0.007812","1.007812","0.000000","0.000000","0.000000","0.125000",
"0.805526","2405.346680","1.158537","8170.738312","0.872452","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.007812","-0.035156","0.988281","0.000000","0.000000","0.000000","0.125000",
"0.829786","2405.346680","0.243902","8170.750776","0.972160","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.015625","-0.023438","1.039062","0.000000","0.000000","0.000000","0.125000",
"0.859292","2405.302734","0.243902","8170.755761","0.947233","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","-0.015625","-0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"0.883830","2405.302734","0.243902","8170.755761","0.623180","0.000000","0.000000","0.000000","0.000000","0.000000","12.064756","Disabled","","","0.000000","0.007812","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.907450","2405.302734","0.243902","8170.748283","0.398835","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.007812","0.027344","0.992188","0.000000","0.000000","0.000000","0.000000",
"0.931302","2405.302734","-0.243902","8170.743298","0.199418","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","-0.003906","0.039062","0.992188","0.000000","0.000000","0.000000","0.000000",
"0.960233","2405.302734","-0.243902","8170.740805","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.007812","0.035156","0.996094","0.000000","0.000000","0.000000","0.000000",
"0.984141","2405.302734","-0.243902","8170.738312","-0.099709","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.003906","0.027344","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.006271","2405.302734","-0.243902","8170.738312","-0.149563","0.000000","0.000000","0.000000","0.000000","0.000000","12.058474","Disabled","","","0.000000","0.019531","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.030075","2405.302734","0.000000","8170.745790","-0.099709","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","-0.007812","0.003906","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.059150","2405.302734","0.000000","8170.748283","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.058474","Disabled","","","0.003906","0.003906","1.007812","0.000000","0.000000","0.000000","0.125000",
"1.081452","2405.302734","0.000000","8170.750776","0.049854","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.003906","0.000000","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.105665","2405.346680","0.000000","8170.750776","0.099709","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.011719","0.011719","1.003906","0.000000","0.000000","0.000000","0.125000",
"1.129060","2405.346680","0.121951","8170.750776","0.099709","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.007812","0.011719","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.150994","2405.346680","0.121951","8170.750776","0.099709","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.003906","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.172243","2405.346680","0.121951","8170.745790","0.049854","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.007812","0.015625","1.003906","0.000000","0.000000","0.000000","0.125000",
"1.191027","2405.346680","0.121951","8170.745790","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.058474","Disabled","","","0.003906","0.011719","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.215821","2405.302734","0.121951","8170.745790","-0.024927","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.000000","0.007812","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.239353","2405.302734","-0.243902","8170.745790","-0.024927","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.007812","0.000000","0.980469","0.000000","0.000000","0.000000","0.125000",
"1.258669","2405.302734","-0.243902","8170.745790","-0.024927","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.007812","0.000000","0.992188","0.000000","0.000000","0.000000","0.125000",
