"Time","Angle","Angular Rate","Left Encoder Distance","Left Encoder Rate","Left motor signal (pow or vel)","Right motor signal (pow or vel)","Left motor voltage","Right motor voltage","Battery voltage","Game State","Robot messages","Button Presses","X acceleration","Y acceleration","Z acceleration","FlywheelRate","Flywheel voltage","SpeedSetpoint","Flywheel current",
"0.747127","-3555.615234","0.000000","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.798138","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.857435","Disabled","","","0.000000","0.015625","0.988281","0.000000","0.000000","0.000000","0.000000",
"0.835612","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.000000",
"0.868372","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.019531","0.992188","0.000000","0.000000","0.000000","0.000000",
"0.891451","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.015625","0.988281","0.000000","0.000000","0.000000","0.000000",
"0.917045","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.935920","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.876282","Disabled","","","-0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.956506","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.876282","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.971772","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.987697","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.008602","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.040906","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.857435","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.000000",
"1.062155","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.882564","Disabled","","","0.000000","0.015625","0.988281","0.000000","0.000000","0.000000","0.000000",
"1.084070","-3555.615234","-0.182927","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.000000",
"1.105126","-3555.615234","-0.182927","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.857435","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.000000",
"1.127604","-3555.615234","-0.182927","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.857435","Disabled","","","0.000000","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.147387","-3555.615234","-0.182927","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.876282","Disabled","","","0.000000","0.023438","0.992188","0.000000","0.000000","0.000000","0.000000",
"1.169112","-3555.615234","0.000000","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.876282","Disabled","","","0.000000","0.015625","0.988281","0.000000","0.000000","0.000000","0.000000",
"1.190689","-3555.615234","0.000000","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.003906","0.019531","0.996094","0.000000","0.000000","0.000000","0.000000",
"1.213208","-3555.615234","0.000000","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.011719","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.239734","-3555.615234","0.000000","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.023438","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.259390","-3555.615234","0.000000","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.280959","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.007812","0.011719","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.304044","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.015625","1.003906","0.000000","0.000000","0.000000","0.125000",
"1.328801","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","-0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.347135","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.019531","1.000000","0.000000","0.000000","0.000000","0.000000",
"1.366657","-3555.615234","0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.000000",
"1.386898","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.000000",
"1.407088","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.426611","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.446971","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.011719","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.468516","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.876282","Disabled","","","0.000000","0.019531","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.490446","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.513317","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.007812","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.527799","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.547125","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.567739","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.000000",
"1.592149","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.000000",
"1.607720","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.000000",
"1.631697","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.652366","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.673740","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.882564","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.000000",
"1.691948","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.000000",
"1.708620","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.007812","0.019531","0.988281","0.000000","0.000000","0.000000","0.000000",
"1.729667","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.754892","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.775817","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.882564","Disabled","","","-0.003906","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.789778","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.019531","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.809168","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.011719","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.831121","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","-0.003906","0.019531","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.851209","-3555.615234","-0.121951","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.870000","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.868992","-3555.615234","-0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.888509","-3555.615234","-0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.863717","Disabled","","","0.003906","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.907634","-3555.615234","-0.060976","11266.485649","0.000000","0.000000","0.000000","0.000000","0.000000","11.876282","Disabled","","","0.000000","0.011719","0.992188","0.000000","0.000000","0.000000","0.125000",
