"Time","Angle","Angular Rate","Left Encoder Distance","Left Encoder Rate","Left motor signal (pow or vel)","Right motor signal (pow or vel)","Left motor voltage","Right motor voltage","Drive current","Battery voltage","Game State","Robot messages","Button Presses","X acceleration","Y acceleration","Z acceleration","FlywheelRate","Flywheel voltage","SpeedSetpoint","Flywheel current",
"0.784486","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.822030","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"0.853885","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.885529","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.918718","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.019531","1.003906","0.000000","0.000000","0.000000","0.125000",
"0.947642","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.007812","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.984432","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.012679","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.019531","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.032931","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.058537","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.081625","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","-0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.106280","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.133238","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.156042","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.183675","-413.833008","0.182927","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","1.003906","0.000000","0.000000","0.000000","0.125000",
"1.207800","-413.833008","0.182927","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.231891","-413.833008","0.182927","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","-0.003906","0.015625","1.003906","0.000000","0.000000","0.000000","0.125000",
"1.264057","-413.833008","0.182927","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.287267","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.313965","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.372597","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.340012","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.363995","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.391283","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.404010","Disabled","","","0.003906","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.407720","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","-0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.431213","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.449496","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.481749","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.506444","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.530047","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.556757","-413.833008","0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.404010","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.581702","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.606682","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.630908","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.651793","-413.833008","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.003906","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.674211","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.019531","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.700165","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.003906","0.011719","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.724833","-413.833008","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.000000","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.753238","-413.833008","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.775114","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.011719","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.802253","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.827619","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.000000","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.856014","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.003906","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.881932","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.907069","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.934213","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.961782","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.984984","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.010076","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.007812","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"2.031889","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.051394","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.007812","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.073620","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.000000","0.011719","1.000000","0.000000","0.000000","0.000000","0.125000",
"2.094621","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.003906","0.015625","1.000000","0.000000","0.000000","0.000000","0.125000",
"2.122033","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.007812","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"2.144818","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.172450","-413.876953","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.019531","1.000000","0.000000","0.000000","0.000000","0.125000",
"2.196014","-413.876953","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","-0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"2.223768","-413.876953","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","-0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.248057","-413.876953","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.272189","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.023438","1.003906","0.000000","0.000000","0.000000","0.125000",
"2.301380","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.324978","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.378880","Disabled","","","0.007812","0.023438","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.351607","-413.876953","-0.121951","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.003906","0.023438","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.380228","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.391445","Disabled","","","0.000000","0.019531","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.403705","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.427594","-413.833008","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.007812","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"2.453400","-413.876953","0.000000","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.385162","Disabled","","","0.000000","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"2.483305","-413.876953","-0.060976","1284.657521","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.397727","Disabled","","","0.000000","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
