"Time","Angle","Angular Rate","Left Encoder Distance","Left Encoder Rate","Left motor signal (pow or vel)","Right motor signal (pow or vel)","Left motor voltage","Right motor voltage","Drive current","Battery voltage","Game State","Robot messages","Button Presses","X acceleration","Y acceleration","Z acceleration","FlywheelRate","Flywheel voltage","SpeedSetpoint","Flywheel current",
"0.729619","2362.587891","31.341464","8191.215997","-21.562017","0.000000","0.000000","0.000000","0.000000","0.000000","12.039626","Disabled","","","-0.011719","-0.125000","0.730469","0.000000","0.000000","0.000000","0.125000",
"0.756576","2363.554688","31.341464","8190.729917","-21.761435","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.039062","0.066406","1.019531","0.000000","0.000000","0.000000","0.125000",
"0.788521","2364.565430","31.341464","8190.251315","-21.960852","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","-0.125000","-0.066406","0.785156","0.000000","0.000000","0.000000","0.125000",
"0.814485","2365.576172","34.207318","8189.241764","-22.559105","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","-0.046875","-0.003906","1.203125","0.000000","0.000000","0.000000","0.125000",
"0.837893","2366.674805","34.207318","8188.710815","-23.057649","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","-0.007812","-0.125000","0.914062","0.000000","0.000000","0.000000","0.125000",
"0.869293","2367.421875","34.207318","8188.182358","-23.556192","0.000000","0.000000","0.000000","0.000000","0.000000","12.039626","Disabled","","","-0.042969","0.015625","0.824219","0.000000","0.000000","0.000000","0.125000",
"0.895356","2368.608398","34.207318","8187.125446","-24.478498","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","-0.031250","0.074219","1.234375","0.000000","0.000000","0.000000","0.125000",
"0.918255","2369.838867","41.036586","8186.606960","-24.802552","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.019531","0.062500","0.750000","0.000000","0.000000","0.000000","0.125000",
"0.940616","2370.717773","41.036586","8186.098445","-24.952115","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","-0.101562","-0.167969","0.695312","0.000000","0.000000","0.000000","0.125000",
"0.973379","2372.211914","41.036586","8185.545062","-25.001969","0.000000","0.000000","0.000000","0.000000","0.000000","12.052191","Disabled","","","0.011719","0.046875","1.191406","0.000000","0.000000","0.000000","0.125000",
"0.997069","2372.739258","41.036586","8184.475686","-25.101678","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","-0.074219","-0.035156","0.886719","0.000000","0.000000","0.000000","0.125000",
"1.018518","2374.365234","54.817074","8183.907346","-25.276168","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.152344","0.097656","1.277344","0.000000","0.000000","0.000000","0.125000",
"1.042301","2376.123047","54.817074","8183.348977","-25.575295","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.000000","0.019531","1.082031","0.000000","0.000000","0.000000","0.125000",
"1.075941","2377.353516","54.817074","8182.785622","-25.924275","0.000000","0.000000","0.000000","0.000000","0.000000","12.045909","Disabled","","","0.000000","0.167969","1.015625","0.000000","0.000000","0.000000","0.125000",
