"Time","Angle","Angular Rate","Left Encoder Distance","Left Encoder Rate","Left motor signal (pow or vel)","Right motor signal (pow or vel)","Left motor voltage","Right motor voltage","Drive current","Battery voltage","Game State","Robot messages","Button Presses","X acceleration","Y acceleration","Z acceleration","FlywheelRate","Flywheel voltage","SpeedSetpoint","Flywheel current",
"0.755328","-125.991211","0.000000","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.000000","0.011719","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.815376","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.003906","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.843509","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.000000","0.023438","0.996094","0.000000","0.000000","0.000000","0.125000",
"0.864409","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.884361","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.535941","Disabled","","","0.003906","0.011719","1.003906","0.000000","0.000000","0.000000","0.125000",
"0.903010","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.007812","0.007812","1.003906","0.000000","0.000000","0.000000","0.125000",
"0.920534","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.523376","Disabled","","","-0.003906","0.015625","1.003906","0.000000","0.000000","0.000000","0.125000",
"0.941294","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.535941","Disabled","","","0.000000","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.955758","-125.991211","0.060976","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.003906","0.023438","0.992188","0.000000","0.000000","0.000000","0.125000",
"0.975358","-125.991211","0.000000","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.003906","0.007812","0.976562","0.000000","0.000000","0.000000","0.125000",
"0.997275","-125.991211","0.000000","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.007812","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.018765","-125.991211","0.000000","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.523376","Disabled","","","0.003906","0.015625","0.988281","0.000000","0.000000","0.000000","0.125000",
"1.042855","-125.991211","0.000000","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.517094","Disabled","","","0.007812","0.023438","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.059448","-125.991211","0.000000","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.535941","Disabled","","","-0.003906","0.019531","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.075213","-125.991211","0.243902","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.000000","0.011719","1.000000","0.000000","0.000000","0.000000","0.125000",
"1.097155","-125.947266","0.243902","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.007812","0.015625","0.996094","0.000000","0.000000","0.000000","0.125000",
"1.118132","-125.947266","0.243902","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.529659","Disabled","","","0.003906","0.015625","0.992188","0.000000","0.000000","0.000000","0.125000",
"1.143623","-125.947266","0.243902","-0.059825","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.535941","Disabled","","","0.000000","0.019531","0.988281","0.000000","0.000000","0.000000","0.125000",
